Id,PLU,Name,Category,Active
669092,,Samuraï,Sauce cold,TRUE
669095,,Joppie,Sauce cold,TRUE
658600,,Scampi brochette,Shellfish,TRUE
669097,,Mammoetsaus,Sauce cold,TRUE
669098,,Américaine saus,Sauce cold,TRUE
1839275,,Rosbief,Various Preparations,TRUE
669100,,Loempiasaus,Sauce cold,TRUE
658605,,Scampi’s Noordzee salade,Shellfish,TRUE
669102,,Pepersaus (koud),Sauce cold,TRUE
669104,,Hannibal saus,Sauce cold,TRUE
669105,,Andalouse,Sauce cold,TRUE
658610,,Vispan,Prepared dishes,TRUE
669106,,Bicky oranje saus,Sauce cold,TRUE
669108,,Chocolademousse,Dessert,TRUE
669113,,Coca cola,Drinks,TRUE
669114,,Coca cola zero,Drinks,TRUE
669116,,Fanta,Drinks,TRUE
1840830,,Aspergesoep,Prepared dishes,TRUE
669118,,Sprite,Drinks,TRUE
698046,,Ambachtelijke kipfingers,Snacks,TRUE
669120,,Ice Tea,Drinks,TRUE
669123,,Ice Tea Pêche,Drinks,TRUE
658884,,Spaghetti Bolognaise,Prepared dishes,TRUE
1398724,,Geraspte kaas,,TRUE
658629,,Diabolique saus,Sauce hot,TRUE
669125,,Ice Tea Green,Drinks,TRUE
668870,,Balletjes in tomatensaus,Prepared dishes,TRUE
658632,,Paté,Various Preparations,TRUE
668872,,Stoofvlees,Prepared dishes,TRUE
669128,,Schweppes Agrum,Drinks,TRUE
658633,,BELL’Burger (vlees),Meat preparations of crunched meat,TRUE
668873,,Vol-au-vent,Prepared dishes,TRUE
668874,,Boerenpaté,Prepared dishes,TRUE
658635,,Stoofvleessaus,Sauce hot,TRUE
669131,,Gini,Drinks,TRUE
668876,,Koude schotel,Prepared dishes,TRUE
669134,,Minute Maid multivitamine,Drinks,TRUE
669135,,Tropico,Drinks,TRUE
658640,,Américain préparé,Meat preparations of crunched meat,TRUE
668883,,Omelet,Prepared dishes,TRUE
669139,,Chaudfontaine plat,Drinks,TRUE
668884,,Vispannetje,Prepared dishes,TRUE
669141,,Chaudfontaine bruisend,Drinks,TRUE
669142,,"Jupiler 0,0%",Beer,TRUE
787159,,Tomatensoep met balletjes,Soup,TRUE
669143,,Jupiler,Beer,TRUE
669144,,Hoegaarden,Beer,TRUE
669146,,Leffe blond,Beer,TRUE
669147,,Leffe bruin,Beer,TRUE
669148,,Duvel,Beer,TRUE
1314525,,Scampi diabolique pasta,Prepared dishes,TRUE
669149,,Omer,Beer,TRUE
669151,,Kriek Bellevue,Beer,TRUE
1891551,,ZalmLasagne,Prepared dishes,TRUE
1314528,,Scampi curry pasta,Prepared dishes,TRUE
669152,,Rodenbach,Beer,TRUE
1891553,,ZalmTagliatelli,Prepared dishes,TRUE
1424354,,Steak Tartare,,TRUE
669155,,Campari orange,Aperitifs,TRUE
668901,,Rundsbrochette,Prepared dishes,TRUE
669157,,Porto rood,Aperitifs,TRUE
668903,,Tagliatelli Carbonara,Prepared dishes,TRUE
669159,,Porto wit,Aperitifs,TRUE
1610727,,Chocolademouse,Dessert,TRUE
